Timestamp,Which college are you from?  ,"What AI tools do you use for studying, and how frequently? (e.g., ChatGPT, Grammarly, QuillBot, etc.)","How do you incorporate AI into your learning process? (e.g., research, writing, tutoring, summarizing content, generating ideas, etc.)","Do you rely on AI for specific subjects or tasks? If so, which ones?  ","Do you think AI has changed your approach to studying? If yes, how?  ",Has using AI tools helped you understand difficult topics better? Can you provide an example?  ,Do you think AI has contributed to better grades or more efficient studying? Why or why not?  ,What are the biggest advantages and drawbacks of using AI for learning?  ,"Do you have any concerns about using AI in academics, such as over-reliance or ethical issues?  "
2025/03/31 6:32:11 PM GMT+8,CT,"ChatGPT, Grammarly, QuillBot",Generating Ideas and Gathering Informations,No,Yes by gathering information easier,yeah it helps me example of that is when i wanted to know about our leasson which is all about the Gas laws,yes it contributes to us by allowing the students to have a basic understanding on topics that they doesn't really know about.,one of tha biggest advantage of AI is that the student can have a grasp on the topics that they are tackling about and its biggest drawback or let s say affect is that students or people can tend to rely on it,maybe the some really over relied on it but it really is depending on the student on how he uses the AI for ones self
2025/04/03 11:02:04 PM GMT+8,CIC,ChatGPT and CoPilot,"Grammar Correction, Opinion, Summarize, Generate ideas, Scoring my work","I rely on it more in my coding subject, for example instead of searching the web how to fix an error I just ask ChatGPT.","Yes, it change how I study, like I do not need to summarize everything on my own, find solution to a specific problem.","Yes it help me understand more, example I do not understand this type of things, instead of blindly searching across the web, I just ask chatgpt and double check it if it is correct","Yes, cause it make my work easier, and easier work equal more time to study.","For me the biggest advantage is that it made everything easier, and the drawback is that we sometimes relies on it too much, which lead to doubt our abilities in actual thinking.","Yes I have one concern and that is over-reliance on AI, so much reliance that you don't know how to."
2025/04/03 11:16:36 PM GMT+8,CIC,ChatGPT and Grammarly - thrice a month,"Summarizing content, grammar checking, generating ideas, searching ","Not totally, but I use AI in hard tasks or projects ","Yes, using AI tools, it's now easier for me to research and study. Back then after searching something, I have to write all the necessary informations for me to be able to study after. But now, it's easier because AI will make it for me. Listing and summarizing the things i searched and even generating quizzes in order to test my learnings.","Yes. Just like in my report in a specific subject, I did bot understand the explanation provided in the module so, I asked the AI tool to explain it to me as simple as possible and it did.","I think AI tools really contributed because using these tools, it can improve your writing skills and find informations easier without browsing different webpages. AI tools will do it for you","Easier searching and improve vocabulary and writing skills. But if abused, it can lead to laziness among students to study and learn ",Too much reliance resulting to laziness of some students to actually learn from it.
2025/04/04 10:57:06 AM GMT+8,College of Information and Computing ,ChatGPT,Generating ideas and summarizing contents ,Programming,"Yes, studying with AI helps me understand as it clearly explains some processes that some books or modules lacks","Yes, if i know how to approach a problem logically but i cannot translate it into a code, AI helps me understand how to execute my approach ","Yes, because in college, time is running so fast, you wont have time to read several chapters in the module, AI can summarize all important items in a module for efficient studying. And it also provide detailed examples for me to understand a concept better",Since AI only answers what information it absorbs so idea generating with AI might be already overused by other people. Thinking outside the box can be harder to those relying in ai for idea generating ,AI sometimes gives a false references and due to over reliance they do not even check the source ai gave if it is a correct information and just add it in their study
2025/04/09 8:33:11 PM GMT+8,CIC,"ChatGPT, sometimes","As a tool in helping me understand a complex topic, in creating summarizations of certain ideas, and also as an advanced search tool. I also use AI in coding.",In creating reviewers or generating key points for a report.,Yes. Using AI in creating reviewers and acting as an advanced search engine makes studying more efficient,Yes. For ideas that are new to me or difficult to understand like socio-political ideologies.,"Yes, by making certain tasks like creating key points automated and easier.","Advantages: Efficient and can be modified to fit personal learning style. Disadvantages: Can become too reliant, being lazy especially when doing assignments.","Personally, I don't have concerns about issues such as over-reliance as it ultimately depends on the individual and how they use AI. However, I do have a problem about AI checkers mistakenly labeling works as AI generated, making authors lose credibility."
2025/04/26 3:20:50 PM GMT+8,COE,"ChatGPT lang, halos araw-araw lalo na kapag may homework.",Tinatanong ko si ChatGPT para magpaliwanag ang mga topics.,English essays,"Oo, mas confident ako mag-aral kasi parang back-up sya.","Yes Yung sa Math, ang hirap nung problem pero inayos ni ChatGPT step by step.","Oo, kasi mas mabilis na ako mag-review.",Pro: easy access sa explanations. Con: minsan mali yung sagot.,"Ethical issues talaga, lalo na kung buong output galing sa AI."
2025/04/26 3:23:01 PM GMT+8,CAS,I mainly use ChatGPT almost every day for quick clarifications and Grammarly when writing papers or essays.,"I usually ask AI to help me brainstorm ideas, summarize academic articles, or explain complex theories in simpler terms.","Yes, especially for writing-heavy subjects like Literature and Philosophy, and sometimes even for generating study questions in History.","Definitely. It made me more efficient, instead of spending hours stuck on one topic, I can quickly get a general understanding and move forward with deeper research.","Absolutely. For instance, when I was struggling with critical theory in one of my Literature classes, ChatGPT broke down the concepts into simpler examples that made it much easier to digest.","I believe so. It’s not that AI does the work for me, but it saves time and gives me a clearer starting point, which helps me produce better and more organized outputs.",The main advantage is accessibility to information and instant feedback. The biggest drawback would be the temptation to rely on it too much instead of thinking critically on my own.,"Yes, especially regarding academic honesty and the risk of losing originality. I think AI should be used as a tool to assist, not to replace genuine learning and creativity."
2025/04/26 3:24:44 PM GMT+8,cas,"ChatGPT daily, Grammarly when writing papers.",Mostly for research summaries and idea generation.,"Yes, English and History assignments.","Yes, it made studying faster and more organized.","Yes, especially in Philosophy when explaining theories.","Yes, because it saves time and helps me focus.","Advantage: quick information.
Drawback: risk of becoming too dependent.","Yes, mainly about originality and academic honesty."
2025/04/26 3:27:10 PM GMT+8,College of Technology,"ChatGPT everyday, Grammarly sometimes.",For research and project ideas.,"Yes, mostly sa technical descriptions and manuals.","Yes, mas mabilis makakuha ng references.","Yes, tulad ng mga wiring diagram explanations sa Electronics.","Yes, kasi nakakatulong sa paggawa ng project proposals.","advantage kay mabilis mag research
drawback kay minsan kulang sa detalye","Yes, baka umasa nalang lahat sa AI kesa mag-practice."
2025/04/26 3:28:40 PM GMT+8,COE,"I use ChatGPT daily for explanations on concepts, and Grammarly for writing technical reports or papers.","I use AI to clarify complex concepts, generate ideas for projects, and check my work for errors, especially in written tasks.","Yes, mostly for Mathematics, Engineering Design, and Physics. I find AI helpful in breaking down difficult formulas and theorems.","Yes, it has made my study process more efficient. I can focus on deeper understanding because AI helps me quickly grasp foundational concepts.","Yes, especially in subjects like Thermodynamics. AI helped me understand entropy and energy systems through simple analogies and step-by-step explanations.","Absolutely. AI allows me to review material faster and get quick feedback, which has helped me avoid errors and refine my understanding.","Advantage: It accelerates learning by providing instant access to information and clarification.
Drawback: Over-reliance can make it harder to engage deeply with the material, and there's always a risk of relying on incorrect information.","Yes, I’m concerned that heavy reliance on AI might hinder critical thinking and problem-solving skills. Ethical concerns about plagiarism and authenticity also need to be addressed."
2025/04/26 3:46:01 PM GMT+8,CBA,I use ChatGPT regularly for research and brainstorming ideas. Grammarly is also a frequent tool for improving my written assignments.,"I rely on AI to summarize articles, generate ideas for business reports, and help me outline my thoughts before writing research papers.","Yes, especially in Marketing, Economics, and Management. I use AI to clarify economic models and generate creative marketing strategies.","Yes, it has made my approach more data-driven. Instead of manually going through endless sources, I can quickly extract key insights from AI.","Definitely. For instance, when studying supply and demand curves in Economics, AI helped break down complex graphs and explained shifts in a way that was much clearer than my textbook.","Yes, it has improved my efficiency. With AI helping me to quickly grasp concepts and improve my writing, I can focus more on critical thinking and analysis, which has positively impacted my grades.","Advantage: AI speeds up the learning process and provides instant clarification on difficult topics.
Drawback: Over-reliance on AI might limit creativity, and I sometimes feel I don't fully process the material on my own.","Yes, I’m concerned about academic integrity. If everyone starts using AI for everything, it could lead to cheating or students skipping the effort to truly learn the material."
